id,event,kickoff_time,team_h,team_a,team_h_score,team_a_score,finished,minutes,provisional_start_time,team_h_name,team_a_name
242,25,2026-02-07T15:00:00Z,4,2,,,False,0,False,BOU,AVL
243,25,2026-02-07T15:00:00Z,6,8,,,False,0,False,BHA,CRY
244,25,2026-02-07T15:00:00Z,3,19,,,False,0,False,BUR,WHU
245,25,2026-02-07T15:00:00Z,10,9,,,False,0,False,FUL,EVE
246,25,2026-02-07T15:00:00Z,11,16,,,False,0,False,LEE,NFO
247,25,2026-02-07T15:00:00Z,12,13,,,False,0,False,LIV,MCI
248,25,2026-02-07T15:00:00Z,14,18,,,False,0,False,MUN,TOT
249,25,2026-02-07T15:00:00Z,15,5,,,False,0,False,NEW,BRE
250,25,2026-02-07T15:00:00Z,20,7,,,False,0,False,WOL,CHE
251,26,2026-02-11T20:00:00Z,2,6,,,False,0,False,AVL,BHA
252,26,2026-02-11T20:00:00Z,5,1,,,False,0,False,BRE,ARS
253,26,2026-02-11T20:00:00Z,7,11,,,False,0,False,CHE,LEE
254,26,2026-02-11T20:00:00Z,8,3,,,False,0,False,CRY,BUR
255,26,2026-02-11T20:00:00Z,9,4,,,False,0,False,EVE,BOU
256,26,2026-02-11T20:00:00Z,13,10,,,False,0,False,MCI,FUL
257,26,2026-02-11T20:00:00Z,16,20,,,False,0,False,NFO,WOL
259,26,2026-02-11T20:00:00Z,18,15,,,False,0,False,TOT,NEW
258,26,2026-02-11T20:00:00Z,17,12,,,False,0,False,SUN,LIV
260,26,2026-02-11T20:00:00Z,19,14,,,False,0,False,WHU,MUN
261,27,2026-02-21T15:00:00Z,2,11,,,False,0,False,AVL,LEE
262,27,2026-02-21T15:00:00Z,5,6,,,False,0,False,BRE,BHA
263,27,2026-02-21T15:00:00Z,7,3,,,False,0,False,CHE,BUR
264,27,2026-02-21T15:00:00Z,8,20,,,False,0,False,CRY,WOL
265,27,2026-02-21T15:00:00Z,9,14,,,False,0,False,EVE,MUN
266,27,2026-02-21T15:00:00Z,13,15,,,False,0,False,MCI,NEW
267,27,2026-02-21T15:00:00Z,16,12,,,False,0,False,NFO,LIV
269,27,2026-02-21T15:00:00Z,18,1,,,False,0,False,TOT,ARS
268,27,2026-02-21T15:00:00Z,17,10,,,False,0,False,SUN,FUL
270,27,2026-02-21T15:00:00Z,19,4,,,False,0,False,WHU,BOU
271,28,2026-02-28T15:00:00Z,1,7,,,False,0,False,ARS,CHE
272,28,2026-02-28T15:00:00Z,4,17,,,False,0,False,BOU,SUN
273,28,2026-02-28T15:00:00Z,6,16,,,False,0,False,BHA,NFO
274,28,2026-02-28T15:00:00Z,3,5,,,False,0,False,BUR,BRE
275,28,2026-02-28T15:00:00Z,10,18,,,False,0,False,FUL,TOT
276,28,2026-02-28T15:00:00Z,11,13,,,False,0,False,LEE,MCI
277,28,2026-02-28T15:00:00Z,12,19,,,False,0,False,LIV,WHU
278,28,2026-02-28T15:00:00Z,14,8,,,False,0,False,MUN,CRY
279,28,2026-02-28T15:00:00Z,15,9,,,False,0,False,NEW,EVE
280,28,2026-02-28T15:00:00Z,20,2,,,False,0,False,WOL,AVL
281,29,2026-03-04T20:00:00Z,2,7,,,False,0,False,AVL,CHE
282,29,2026-03-04T20:00:00Z,4,5,,,False,0,False,BOU,BRE
283,29,2026-03-04T20:00:00Z,6,1,,,False,0,False,BHA,ARS
284,29,2026-03-04T20:00:00Z,9,3,,,False,0,False,EVE,BUR
285,29,2026-03-04T20:00:00Z,10,19,,,False,0,False,FUL,WHU
286,29,2026-03-04T20:00:00Z,11,17,,,False,0,False,LEE,SUN
287,29,2026-03-04T20:00:00Z,13,16,,,False,0,False,MCI,NFO
