id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
95,Silcott-Duberry,4,3,44,0,-1,6283,1587,0.1,a,,,0,0,0.0,0.0,0.0
96,Winterburn,4,3,45,0,0,0,942,0.1,u,0.0,has joined Barnet on loan for the rest of the season.,6,1,0.0,0.0,0.0
97,Evanilson,4,4,70,0,0,50917,21899,2.8,a,,,347,16,0.93,0.12,1.05
98,Enes Ünal,4,4,55,0,0,42,65,0.0,i,0.0,Knee injury - Unknown return date,0,0,0.0,0.0,0.0
99,Adu-Adjei,4,4,44,0,-1,5577,2541,0.3,a,,,0,0,0.0,0.0,0.0
100,Kroupi.Jr,4,4,45,0,0,25043,11725,1.4,a,,,12,3,0.0,0.0,0.0
391,Gannon-Doak,4,3,50,0,0,140,461,0.1,a,,,0,0,0.0,0.0,0.0
685,Diakité,4,2,45,0,0,885,10347,0.5,d,,Knock - 50% chance of playing,270,16,0.0,0.01,0.01
687,Rees-Dottin,4,3,45,0,0,171,694,0.1,a,,,0,0,0.0,0.0,0.0
697,Adli,4,3,55,0,0,279,400,0.0,a,,,73,3,0.04,0.03,0.07
713,A.Jimenez,4,2,45,0,0,159,93,0.0,a,,,3,0,0.0,0.0,0.0
721,Milosavljević,4,2,45,0,0,1944,226,0.0,a,,,90,4,0.0,0.18,0.18
27,Nelson,5,3,49,0,-1,707,826,0.1,a,,,0,0,0.0,0.0,0.0
83,O.Dango,5,3,60,0,0,6863,11912,0.9,a,100.0,,190,16,0.85,0.02,0.87
101,Kelleher,5,1,45,0,0,15145,37264,9.1,a,100.0,,360,9,0.0,0.01,0.01
102,Balcombe,5,1,40,0,0,857,1019,0.3,a,,,0,0,0.0,0.0,0.0
103,Cox,5,1,40,0,0,372,450,0.1,a,,,0,0,0.0,0.0,0.0
104,Eyestone,5,1,40,0,0,124,241,0.1,a,,,0,0,0.0,0.0,0.0
105,Valdimarsson,5,1,40,0,0,414,2735,0.8,a,,,0,0,0.0,0.0,0.0
106,Collins,5,2,50,0,0,2802,6849,1.5,a,,,360,15,0.02,0.05,0.07
107,Lewis-Potter,5,2,50,0,0,1294,2154,0.4,a,,,318,14,0.12,0.05,0.17
108,Ajer,5,2,44,-1,-1,871,651,0.2,a,,,12,5,0.04,0.41,0.45
109,Henry,5,2,45,0,0,330,731,0.1,a,,,129,2,0.13,0.06,0.19
110,Kayode,5,2,45,0,0,1376,2139,0.4,a,,,346,14,0.0,0.1,0.1
111,Pinnock,5,2,44,0,-1,674,663,0.1,a,100.0,,82,1,0.0,0.04,0.04
112,Roerslev,5,2,45,0,0,0,180,0.0,u,0.0,Has joined Southampton permanently.,0,0,0.0,0.0,0.0
113,Van den Berg,5,2,45,0,0,2172,4045,0.7,a,,,360,15,0.21,0.03,0.24
114,Arthur,5,2,40,0,0,510,1241,0.3,a,,,0,0,0.0,0.0,0.0
115,Fredrick,5,2,40,0,0,206,653,0.1,a,,,0,0,0.0,0.0,0.0
116,Hickey,5,2,40,0,0,1027,1645,0.4,a,,,20,2,0.0,0.0,0.0
117,Ji-soo,5,2,40,0,0,127,552,0.1,a,,,0,0,0.0,0.0,0.0
118,Meghoma,5,2,40,0,0,0,471,0.1,u,0.0,Has joined Rangers on loan for the rest of the season.,0,0,0.0,0.0,0.0
120,Schade,5,3,70,0,0,12861,2750,0.4,a,100.0,,302,11,1.66,0.09,1.75
121,Damsgaard,5,3,59,0,-1,1152,7495,0.7,a,,,180,7,0.06,0.51,0.57
122,Milambo,5,3,54,0,-1,179,380,0.0,a,,,45,1,0.0,0.01,0.01
123,Carvalho,5,3,49,0,-1,7781,2043,0.3,a,,,92,10,0.7,0.03,0.73
124,Henderson,5,3,50,0,0,6968,1927,0.3,a,,,249,13,0.03,0.04,0.07
125,Janelt,5,3,49,0,-1,74,47,0.0,a,100.0,,0,0,0.0,0.0,0.0
126,Jensen,5,3,49,0,-1,251,369,0.1,a,,,151,5,0.13,0.1,0.23
127,Nunes,5,3,49,0,-1,11,44,0.0,d,0.0,Lack of match fitness - 25% chance of playing,0,0,0.0,0.0,0.0
128,Onyeka,5,3,50,0,0,225,485,0.1,a,,,61,9,0.0,0.36,0.36
129,Yarmoliuk,5,3,50,0,0,436,424,0.1,a,,,348,12,0.12,0.14,0.26
130,Donovan,5,3,45,0,0,602,668,0.1,a,,,0,0,0.0,0.0,0.0
131,Konak,5,3,44,0,-1,3186,1530,0.2,a,,,0,0,0.0,0.0,0.0
132,Maghoma,5,3,45,0,0,20,96,0.0,d,25.0,Lack of match fitness - 25% chance of playing,0,0,0.0,0.0,0.0
