id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
198,20,2026-01-03T15:00:00Z,15,8,3,4,False,False,False,0
199,20,2026-01-03T15:00:00Z,18,17,2,3,False,False,False,0
200,20,2026-01-03T15:00:00Z,20,19,2,3,False,False,False,0
201,21,2026-01-07T20:00:00Z,1,12,4,4,False,False,False,0
202,21,2026-01-07T20:00:00Z,4,18,3,3,False,False,False,0
203,21,2026-01-07T20:00:00Z,5,17,2,3,False,False,False,0
204,21,2026-01-07T20:00:00Z,3,14,3,2,False,False,False,0
205,21,2026-01-07T20:00:00Z,8,2,3,3,False,False,False,0
206,21,2026-01-07T20:00:00Z,9,20,2,3,False,False,False,0
207,21,2026-01-07T20:00:00Z,10,7,3,3,False,False,False,0
208,21,2026-01-07T20:00:00Z,13,6,3,4,False,False,False,0
209,21,2026-01-07T20:00:00Z,15,11,2,4,False,False,False,0
210,21,2026-01-07T20:00:00Z,19,16,3,2,False,False,False,0
211,22,2026-01-17T15:00:00Z,2,9,2,4,False,False,False,0
212,22,2026-01-17T15:00:00Z,6,4,3,3,False,False,False,0
213,22,2026-01-17T15:00:00Z,7,5,3,4,False,False,False,0
214,22,2026-01-17T15:00:00Z,11,10,3,2,False,False,False,0
215,22,2026-01-17T15:00:00Z,12,3,2,5,False,False,False,0
216,22,2026-01-17T15:00:00Z,14,13,4,3,False,False,False,0
217,22,2026-01-17T15:00:00Z,16,1,4,3,False,False,False,0
219,22,2026-01-17T15:00:00Z,18,19,2,3,False,False,False,0
218,22,2026-01-17T15:00:00Z,17,8,3,2,False,False,False,0
220,22,2026-01-17T15:00:00Z,20,15,3,3,False,False,False,0
221,23,2026-01-24T15:00:00Z,1,14,3,4,False,False,False,0
222,23,2026-01-24T15:00:00Z,4,12,4,3,False,False,False,0
223,23,2026-01-24T15:00:00Z,5,16,3,3,False,False,False,0
224,23,2026-01-24T15:00:00Z,3,18,3,2,False,False,False,0
225,23,2026-01-24T15:00:00Z,8,7,3,3,False,False,False,0
226,23,2026-01-24T15:00:00Z,9,11,2,3,False,False,False,0
227,23,2026-01-24T15:00:00Z,10,6,3,3,False,False,False,0
228,23,2026-01-24T15:00:00Z,13,20,2,4,False,False,False,0
229,23,2026-01-24T15:00:00Z,15,2,3,4,False,False,False,0
230,23,2026-01-24T15:00:00Z,19,17,2,2,False,False,False,0
231,24,2026-01-31T15:00:00Z,2,5,3,4,False,False,False,0
232,24,2026-01-31T15:00:00Z,6,9,2,3,False,False,False,0
233,24,2026-01-31T15:00:00Z,7,19,2,4,False,False,False,0
234,24,2026-01-31T15:00:00Z,11,1,4,2,False,False,False,0
235,24,2026-01-31T15:00:00Z,12,15,3,5,False,False,False,0
236,24,2026-01-31T15:00:00Z,14,10,3,3,False,False,False,0
237,24,2026-01-31T15:00:00Z,16,8,3,3,False,False,False,0
239,24,2026-01-31T15:00:00Z,18,13,4,3,False,False,False,0
238,24,2026-01-31T15:00:00Z,17,3,2,2,False,False,False,0
240,24,2026-01-31T15:00:00Z,20,4,3,3,False,False,False,0
241,25,2026-02-07T15:00:00Z,1,17,2,4,False,False,False,0
242,25,2026-02-07T15:00:00Z,4,2,3,3,False,False,False,0
243,25,2026-02-07T15:00:00Z,6,8,3,3,False,False,False,0
244,25,2026-02-07T15:00:00Z,3,19,2,2,False,False,False,0
245,25,2026-02-07T15:00:00Z,10,9,2,3,False,False,False,0
246,25,2026-02-07T15:00:00Z,11,16,3,2,False,False,False,0
247,25,2026-02-07T15:00:00Z,12,13,4,5,False,False,False,0
248,25,2026-02-07T15:00:00Z,14,18,3,3,False,False,False,0
249,25,2026-02-07T15:00:00Z,15,5,3,4,False,False,False,0
250,25,2026-02-07T15:00:00Z,20,7,3,3,False,False,False,0
251,26,2026-02-11T20:00:00Z,2,6,3,4,False,False,False,0
252,26,2026-02-11T20:00:00Z,5,1,4,3,False,False,False,0
253,26,2026-02-11T20:00:00Z,7,11,2,4,False,False,False,0
254,26,2026-02-11T20:00:00Z,8,3,2,3,False,False,False,0
255,26,2026-02-11T20:00:00Z,9,4,3,3,False,False,False,0
256,26,2026-02-11T20:00:00Z,13,10,3,4,False,False,False,0
257,26,2026-02-11T20:00:00Z,16,20,2,3,False,False,False,0
259,26,2026-02-11T20:00:00Z,18,15,3,3,False,False,False,0
258,26,2026-02-11T20:00:00Z,17,12,4,2,False,False,False,0
260,26,2026-02-11T20:00:00Z,19,14,3,2,False,False,False,0
261,27,2026-02-21T15:00:00Z,2,11,2,4,False,False,False,0
262,27,2026-02-21T15:00:00Z,5,6,3,3,False,False,False,0
263,27,2026-02-21T15:00:00Z,7,3,2,4,False,False,False,0
264,27,2026-02-21T15:00:00Z,8,20,2,3,False,False,False,0
265,27,2026-02-21T15:00:00Z,9,14,3,3,False,False,False,0
266,27,2026-02-21T15:00:00Z,13,15,3,4,False,False,False,0
267,27,2026-02-21T15:00:00Z,16,12,4,3,False,False,False,0
