id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
67,Đorđe,Petrović,Petrović,4,1,45,0,0,51437,22058,3.6,a,,,
68,Will,Dennis,Dennis,4,1,40,0,0,7171,4577,1.1,a,,,
69,Callan,McKenna,McKenna,4,1,40,0,0,971,1005,0.2,a,,,
70,Alex,Paulsen,Paulsen,4,1,40,0,0,694,725,0.1,a,,,
71,Illia,Zabarnyi,Zabarnyi,4,2,50,0,0,0,4682,0.1,u,Has joined Paris Saint-Germain permanently.,0.0,0.0
72,Marcos,Senesi Barón,Senesi,4,2,45,0,0,43119,9563,1.3,a,,,
73,Adam,Smith,Smith,4,2,45,0,0,9718,2972,0.4,a,,,
74,Adrien,Truffert,Truffert,4,2,45,0,0,33240,8972,1.0,a,,,
75,Matai,Akinmboni,Akinmboni,4,2,40,0,0,1944,2704,0.3,a,,,
76,Owen,Bevan,Bevan,4,2,40,0,0,643,1600,0.2,a,,,
77,James,Hill,Hill,4,2,40,0,0,9854,6942,0.8,a,,,
78,Julián,Araujo Zúñiga,J.Araujo,4,2,40,0,0,6431,11057,1.3,a,,,
79,Chris,Mepham,Mepham,4,2,40,0,0,581,1693,0.2,a,,,
80,Julio,Soler Barreto,Soler,4,2,40,0,0,1209,2405,0.3,a,,,
81,Justin,Kluivert,Kluivert,4,3,70,0,0,287,34141,0.6,i,Calf injury - Unknown return date,0.0,0.0
82,Antoine,Semenyo,Semenyo,4,3,71,1,1,774668,42660,15.0,a,,,
84,Marcus,Tavernier,Tavernier,4,3,55,0,0,20557,7471,0.6,a,,,
85,Tyler,Adams,Adams,4,3,50,0,0,6589,3915,0.3,a,,,
86,David,Brooks,Brooks,4,3,50,0,0,10451,3188,0.2,a,,,
87,Ryan,Christie,Christie,4,3,50,0,0,72,2281,0.1,i,Lack of match fitness - Expected back 23 Aug,0.0,0.0
88,Lewis,Cook,Cook,4,3,50,0,0,42,298,0.0,s,Suspended until 30 Aug,0.0,0.0
89,Philip,Billing,Philip,4,3,50,0,0,382,1313,0.1,a,,,
90,Alex,Scott,Scott,4,3,50,0,0,1170,1148,0.1,a,,,
91,Luis,Sinisterra Lucumí,Sinisterra,4,3,50,0,0,99,1164,0.0,d,Lack of match fitness - 25% chance of playing,25.0,25.0
92,Romain,Faivre,Faivre,4,3,45,0,0,1571,2633,0.2,a,,,
93,Hamed,Traorè,H.Traorè,4,3,45,0,0,70698,17322,1.2,a,,,
94,Dominic,Sadi,Sadi,4,3,45,0,0,440,765,0.1,a,,,
95,Zain,Silcott-Duberry,Silcott-Duberry,4,3,45,0,0,324,1044,0.1,a,,,
96,Ben,Winterburn,Winterburn,4,3,45,0,0,1824,1128,0.1,a,,,
97,Francisco Evanilson,de Lima Barbosa,Evanilson,4,4,70,0,0,71606,32099,2.5,a,,,
98,Enes,Ünal,Enes Ünal,4,4,55,0,0,128,295,0.0,i,Knee injury - Unknown return date,0.0,0.0
99,Daniel,Adu-Adjei,Adu-Adjei,4,4,45,0,0,3037,4101,0.3,a,,,
100,Eli Junior,Kroupi,Kroupi.Jr,4,4,45,0,0,42522,17651,1.3,a,,,
391,Ben,Gannon-Doak,Gannon-Doak,4,3,50,0,0,1861,944,0.1,a,,,
685,Bafodé,Diakité,Diakité,4,2,45,0,0,6150,1787,0.2,a,,,
687,Remy,Rees-Dottin,Rees-Dottin,4,3,45,0,0,4357,1468,0.1,a,,,
697,Amine,Adli,Adli,4,3,55,0,0,335,53,0.0,a,,,
83,Dango,Ouattara,O.Dango,5,3,60,0,0,816,2612,0.1,a,,100.0,50.0
101,Caoimhín,Kelleher,Kelleher,5,1,45,0,0,24261,71669,10.3,a,,100.0,75.0
102,Ellery,Balcombe,Balcombe,5,1,40,0,0,1816,1606,0.3,a,,,
103,Matthew,Cox,Cox,5,1,40,0,0,642,815,0.2,a,,,
104,Julian,Eyestone,Eyestone,5,1,40,0,0,250,481,0.1,a,,,
105,Hákon Rafn,Valdimarsson,Valdimarsson,5,1,40,0,0,1596,4662,1.0,a,,,
106,Nathan,Collins,Collins,5,2,50,0,0,4371,18201,1.6,a,,,
107,Keane,Lewis-Potter,Lewis-Potter,5,2,50,0,0,2560,3917,0.4,a,,,
108,Kristoffer,Ajer,Ajer,5,2,45,0,0,887,2212,0.2,a,,,
109,Rico,Henry,Henry,5,2,45,0,0,1121,1375,0.2,a,,,
110,Michael,Kayode,Kayode,5,2,45,0,0,1058,1591,0.2,a,,,
111,Ethan,Pinnock,Pinnock,5,2,45,0,0,593,4113,0.2,d,Knock - 75% chance of playing,75.0,
112,Mads,Roerslev Rasmussen,Roerslev,5,2,45,0,0,204,633,0.0,a,,,
113,Sepp,van den Berg,Van den Berg,5,2,45,0,0,4489,3145,0.4,a,,,
114,Benjamin,Arthur,Arthur,5,2,40,0,0,1514,2575,0.3,a,,,
115,Benjamin,Fredrick,Fredrick,5,2,40,0,0,545,1423,0.2,a,,,
116,Aaron,Hickey,Hickey,5,2,40,0,0,1557,3458,0.5,a,,,
117,Kim,Ji-soo,Ji-soo,5,2,40,0,0,394,1421,0.2,a,,,
118,Jayden,Meghoma,Meghoma,5,2,40,0,0,279,2319,0.1,u,Has joined Rangers on loan for the rest of the season.,0.0,
120,Kevin,Schade,Schade,5,3,70,0,0,1578,4745,0.3,a,,100.0,75.0
121,Mikkel,Damsgaard,Damsgaard,5,3,59,-1,-1,1809,22655,0.9,a,,,
122,Antoni,Milambo,Milambo,5,3,55,0,0,384,995,0.1,a,,,
123,Fábio,Freitas Gouveia Carvalho,Carvalho,5,3,50,0,0,2642,4019,0.3,a,,,
124,Jordan,Henderson,Henderson,5,3,50,0,0,1464,4142,0.3,a,,,
125,Vitaly,Janelt,Janelt,5,3,50,0,0,29,547,0.0,i,Heel Injury - Unknown return date,0.0,0.0
126,Mathias,Jensen,Jensen,5,3,50,0,0,500,1036,0.1,a,,,
127,Gustavo,Nunes Fernandes Gomes,Nunes,5,3,50,0,0,27,322,0.0,i,Hamstring injury - Unknown return date,0.0,0.0
128,Frank,Onyeka,Onyeka,5,3,50,0,0,1413,677,0.1,a,,,
129,Yehor,Yarmoliuk,Yarmoliuk,5,3,50,0,0,203,514,0.0,a,,,
130,Romelle,Donovan,Donovan,5,3,45,0,0,976,1422,0.1,a,,,
131,Yunus Emre,Konak,Konak,5,3,45,0,0,473,1935,0.2,a,,,
132,Paris,Maghoma,Maghoma,5,3,45,0,0,61,731,0.0,i,Unknown - Unknown return date,0.0,0.0
133,Myles,Peart-Harris,Peart-Harris,5,3,45,0,0,327,519,0.0,a,,,
134,Ryan,Trevitt,Trevitt,5,3,45,0,0,0,296,0.0,u,Has joined Wigan on loan for the rest of the season,0.0,0.0
135,Yoane,Wissa,Wissa,5,4,75,0,0,4386,92438,1.7,n,Won’t be considered for selection against Nottingham Forest on 17/8. - Unknown return date,0.0,0.0
136,Igor Thiago,Nascimento Rodrigues,Thiago,5,4,60,0,0,25337,11408,1.1,a,,,
137,Iwan,Morgan,Morgan,5,4,45,0,0,3865,5729,0.5,a,,,
138,Jason,Steele,Steele,6,1,45,0,0,1238,5531,0.5,a,,,
139,Bart,Verbruggen,Verbruggen,6,1,45,0,0,30346,46697,7.4,a,,,
140,Tom,McGill,McGill,6,1,40,0,0,1951,2095,0.4,a,,,
141,Carl,Rushworth,Rushworth,6,1,40,0,0,0,67,0.0,u,Has joined Coventry City on loan for the rest of the season.,0.0,0.0
142,Kjell,Scherpen,Scherpen,6,1,40,0,0,0,59,0.0,u,Has joined Union SG permanently,0.0,0.0
143,Olivier,Boscagli,Boscagli,6,2,45,0,0,665,1947,0.1,a,,,
144,Diego,Coppola,Coppola,6,2,45,0,0,215,1096,0.1,a,,,
145,Maxim,De Cuyper,De Cuyper,6,2,45,0,0,27669,38192,6.0,a,,,
