element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
63,Young,Kadan Young,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
64,Watkins,Ollie Watkins,FWD,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,2,0,0,1,0,0,0,0,0,0,0,0,12,10.6,12.2,27.0,5.0,0.12,0.01,0.13,1.43,2,5,4,False,3,1,0
65,Redmond,Zépiqueno Redmond,FWD,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
66,Neto,Norberto Murara Neto,GK,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
67,Petrović,Đorđe Petrović,GK,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,2,0,0,0,4,0,0,0,0,0,6,0,10,47.8,0.0,0.0,4.8,0.0,0.0,0.0,2.21,4,0,1,False,8,1,0
68,Dennis,Will Dennis,GK,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
69,McKenna,Callan McKenna,GK,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
70,Paulsen,Alex Paulsen,GK,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
71,Zabarnyi,Illia Zabarnyi,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
72,Senesi,Marcos Senesi Barón,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,2,0,0,0,4,0,0,0,0,0,0,0,1,26.6,14.6,2.0,4.3,0.0,0.05,0.05,2.21,12,15,2,False,2,1,3
73,Smith,Adam Smith,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,89,1,0,0,0,3,0,0,0,0,0,0,0,2,12.2,10.5,4.0,2.7,0.0,0.08,0.08,2.1,8,9,2,False,2,1,1
74,Truffert,Adrien Truffert,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,0,0,0,0,4,0,0,0,0,0,0,0,-1,18.2,19.1,0.0,3.7,0.0,0.13,0.13,2.21,4,6,2,False,4,1,2
75,Akinmboni,Matai Akinmboni,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
76,Bevan,Owen Bevan,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
77,Hill,James Hill,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.1,0.0,0.3,0.0,0.0,0.0,0.11,2,2,2,False,0,0,0
78,J.Araujo,Julián Araujo Zúñiga,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
79,Mepham,Chris Mepham,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
80,Soler,Julio Soler Barreto,DEF,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
81,Kluivert,Justin Kluivert,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
