fixture,event,kickoff_time,minutes,finished,finished_provisional,started,team_a,team_a_difficulty,team_h,team_h_difficulty
300,30,2026-03-14T15:00:00Z,0,False,False,False,13,2,19,4
301,31,2026-03-21T15:00:00Z,0,False,False,False,19,4,2,2
302,31,2026-03-21T15:00:00Z,0,False,False,False,14,3,4,3
303,31,2026-03-21T15:00:00Z,0,False,False,False,12,3,6,4
304,31,2026-03-21T15:00:00Z,0,False,False,False,7,3,9,3
305,31,2026-03-21T15:00:00Z,0,False,False,False,3,3,10,2
306,31,2026-03-21T15:00:00Z,0,False,False,False,5,2,11,3
307,31,2026-03-21T15:00:00Z,0,False,False,False,8,4,13,3
308,31,2026-03-21T15:00:00Z,0,False,False,False,17,4,15,2
309,31,2026-03-21T15:00:00Z,0,False,False,False,16,3,18,3
310,31,2026-03-21T15:00:00Z,0,False,False,False,1,3,20,4
311,32,2026-04-11T14:00:00Z,0,False,False,False,4,4,1,3
312,32,2026-04-11T14:00:00Z,0,False,False,False,9,3,5,2
313,32,2026-04-11T14:00:00Z,0,False,False,False,6,2,3,3
314,32,2026-04-11T14:00:00Z,0,False,False,False,13,4,7,4
315,32,2026-04-11T14:00:00Z,0,False,False,False,15,3,8,3
316,32,2026-04-11T14:00:00Z,0,False,False,False,10,5,12,3
317,32,2026-04-11T14:00:00Z,0,False,False,False,11,3,14,2
318,32,2026-04-11T14:00:00Z,0,False,False,False,2,3,16,3
319,32,2026-04-11T14:00:00Z,0,False,False,False,18,2,17,3
320,32,2026-04-11T14:00:00Z,0,False,False,False,20,2,19,2
321,33,2026-04-18T14:00:00Z,0,False,False,False,17,4,2,2
322,33,2026-04-18T14:00:00Z,0,False,False,False,10,3,5,3
323,33,2026-04-18T14:00:00Z,0,False,False,False,14,4,7,3
324,33,2026-04-18T14:00:00Z,0,False,False,False,19,3,8,2
325,33,2026-04-18T14:00:00Z,0,False,False,False,12,3,9,4
326,33,2026-04-18T14:00:00Z,0,False,False,False,20,2,11,2
327,33,2026-04-18T14:00:00Z,0,False,False,False,1,4,13,4
328,33,2026-04-18T14:00:00Z,0,False,False,False,4,4,15,3
329,33,2026-04-18T14:00:00Z,0,False,False,False,3,3,16,2
330,33,2026-04-18T14:00:00Z,0,False,False,False,6,3,18,3
331,34,2026-04-25T14:00:00Z,0,False,False,False,15,4,1,3
332,34,2026-04-25T14:00:00Z,0,False,False,False,11,3,4,2
333,34,2026-04-25T14:00:00Z,0,False,False,False,7,3,6,3
334,34,2026-04-25T14:00:00Z,0,False,False,False,13,2,3,4
335,34,2026-04-25T14:00:00Z,0,False,False,False,2,3,10,3
336,34,2026-04-25T14:00:00Z,0,False,False,False,8,5,12,3
337,34,2026-04-25T14:00:00Z,0,False,False,False,5,3,14,3
338,34,2026-04-25T14:00:00Z,0,False,False,False,16,2,17,3
339,34,2026-04-25T14:00:00Z,0,False,False,False,9,2,19,2
340,34,2026-04-25T14:00:00Z,0,False,False,False,18,3,20,3
341,35,2026-05-02T14:00:00Z,0,False,False,False,10,4,1,3
342,35,2026-05-02T14:00:00Z,0,False,False,False,18,4,2,3
343,35,2026-05-02T14:00:00Z,0,False,False,False,8,3,4,3
344,35,2026-05-02T14:00:00Z,0,False,False,False,19,3,5,2
345,35,2026-05-02T14:00:00Z,0,False,False,False,16,4,7,3
346,35,2026-05-02T14:00:00Z,0,False,False,False,13,3,9,4
347,35,2026-05-02T14:00:00Z,0,False,False,False,3,2,11,2
348,35,2026-05-02T14:00:00Z,0,False,False,False,12,3,14,4
349,35,2026-05-02T14:00:00Z,0,False,False,False,6,4,15,3
350,35,2026-05-02T14:00:00Z,0,False,False,False,17,3,20,2
351,36,2026-05-09T14:00:00Z,0,False,False,False,20,3,6,2
352,36,2026-05-09T14:00:00Z,0,False,False,False,2,2,3,3
353,36,2026-05-09T14:00:00Z,0,False,False,False,9,3,8,2
354,36,2026-05-09T14:00:00Z,0,False,False,False,4,3,10,3
355,36,2026-05-09T14:00:00Z,0,False,False,False,7,5,12,3
356,36,2026-05-09T14:00:00Z,0,False,False,False,5,4,13,3
357,36,2026-05-09T14:00:00Z,0,False,False,False,15,3,16,3
359,36,2026-05-09T14:00:00Z,0,False,False,False,11,3,18,2
358,36,2026-05-09T14:00:00Z,0,False,False,False,14,2,17,3
360,36,2026-05-09T14:00:00Z,0,False,False,False,1,2,19,4
361,37,2026-05-17T14:00:00Z,0,False,False,False,3,4,1,2
362,37,2026-05-17T14:00:00Z,0,False,False,False,12,4,2,4
363,37,2026-05-17T14:00:00Z,0,False,False,False,13,3,4,4
364,37,2026-05-17T14:00:00Z,0,False,False,False,8,3,5,3
365,37,2026-05-17T14:00:00Z,0,False,False,False,18,4,7,3
366,37,2026-05-17T14:00:00Z,0,False,False,False,17,3,9,2
367,37,2026-05-17T14:00:00Z,0,False,False,False,6,2,11,3
368,37,2026-05-17T14:00:00Z,0,False,False,False,16,3,14,3
369,37,2026-05-17T14:00:00Z,0,False,False,False,19,4,15,2
370,37,2026-05-17T14:00:00Z,0,False,False,False,10,3,20,3
371,38,2026-05-24T15:00:00Z,0,False,False,False,14,3,6,3
372,38,2026-05-24T15:00:00Z,0,False,False,False,20,2,3,2
373,38,2026-05-24T15:00:00Z,0,False,False,False,1,3,8,4
374,38,2026-05-24T15:00:00Z,0,False,False,False,15,3,10,3
375,38,2026-05-24T15:00:00Z,0,False,False,False,5,5,12,3
376,38,2026-05-24T15:00:00Z,0,False,False,False,2,4,13,3
377,38,2026-05-24T15:00:00Z,0,False,False,False,4,3,16,3
379,38,2026-05-24T15:00:00Z,0,False,False,False,9,3,18,2
378,38,2026-05-24T15:00:00Z,0,False,False,False,7,2,17,3
380,38,2026-05-24T15:00:00Z,0,False,False,False,11,2,19,2
