id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,status,chance_of_playing_this_round
660,Stach,11,3,50,0,0,0.5,a,
665,Perri,11,1,45,0,0,0.4,a,
691,Calvert-Lewin,11,4,55,0,0,0.1,d,75.0
698,Okafor,11,3,55,0,0,0.0,a,75.0
706,Justin,11,2,40,0,0,0.0,a,
366,A.Becker,12,1,55,0,0,10.5,a,
367,Mamardashvili,12,1,44,-1,-1,0.4,a,
368,Pécsi,12,1,40,0,0,0.1,a,
369,Woodman,12,1,40,0,0,0.1,a,
370,Frimpong,12,2,59,-1,-1,13.7,i,0.0
371,Kerkez,12,2,60,0,0,5.9,a,
372,Robertson,12,2,60,0,0,1.2,a,
373,Virgil,12,2,60,0,0,24.4,a,
374,Konaté,12,2,55,0,0,2.9,a,
375,Bradley,12,2,50,0,0,0.1,a,50.0
376,Gomez,12,2,50,0,0,0.1,a,100.0
377,Tsimikas,12,2,49,-1,-1,0.1,a,
378,Nallo,12,2,40,0,0,0.1,a,
379,R.Williams,12,2,40,0,0,0.2,a,
380,Ramsay,12,2,40,0,0,0.2,a,
381,M.Salah,12,3,145,0,0,53.7,a,
382,Wirtz,12,3,84,-1,-1,24.7,a,
383,Luis Díaz,12,3,80,0,0,0.1,u,0.0
384,Gakpo,12,3,75,0,0,10.7,a,
385,Chiesa,12,3,65,0,0,0.4,a,
386,Mac Allister,12,3,65,0,0,1.9,a,
387,Szoboszlai,12,3,65,0,0,1.8,a,
388,C.Jones,12,3,54,-1,-1,0.1,a,
389,Elliott,12,3,54,0,-1,0.1,a,
390,Gravenberch,12,3,55,0,0,0.3,a,100.0
392,Endo,12,3,50,0,0,0.1,a,
393,Bajcetic,12,3,45,0,0,0.0,a,
394,McConnell,12,3,45,0,0,0.0,a,
395,Morton,12,3,45,0,0,0.0,u,0.0
396,Nyoni,12,3,44,-1,-1,0.1,a,
397,Darwin,12,4,65,0,0,0.1,u,0.0
398,Danns,12,4,45,0,0,0.1,a,
661,Ekitiké,12,4,86,0,1,25.0,a,
686,Ngumoha,12,3,45,0,0,0.3,a,
692,Leoni,12,2,50,0,0,0.0,a,
182,Trafford,13,1,50,0,0,2.6,a,
399,Ederson M.,13,1,54,0,-1,2.3,a,
400,Ortega Moreno,13,1,50,0,0,0.2,a,
401,Bettinelli,13,1,40,0,0,0.2,i,0.0
402,Aït-Nouri,13,2,61,1,1,19.6,d,
403,Gvardiol,13,2,59,0,-1,4.5,i,0.0
404,Akanji,13,2,54,-1,-1,0.7,a,
405,Aké,13,2,55,0,0,0.7,a,
406,Khusanov,13,2,54,-1,-1,0.3,a,
407,Matheus N.,13,2,54,-1,-1,0.4,a,
408,Rúben,13,2,55,0,0,4.1,a,
409,Stones,13,2,55,0,0,1.1,a,
410,Lewis,13,2,50,0,0,4.0,a,
411,O’Reilly,13,2,50,0,0,0.1,a,
412,Vitor Reis,13,2,50,0,0,0.0,u,0.0
413,Marmoush,13,3,84,0,-1,7.8,a,
414,Foden,13,3,80,0,0,1.4,a,100.0
415,Savinho,13,3,69,0,-1,0.5,i,0.0
416,Bernardo,13,3,65,0,0,0.7,a,
417,Cherki,13,3,65,0,0,8.0,a,
418,Doku,13,3,64,-1,-1,1.0,a,
420,Gündoğan,13,3,64,0,-1,0.2,a,
421,Rodrigo,13,3,64,0,-1,0.6,a,100.0
422,Kovačić,13,3,60,0,0,0.0,i,0.0
423,N.Gonzalez,13,3,60,0,0,0.1,a,
424,Bobb,13,3,55,0,0,0.5,a,
425,Echeverri,13,3,54,0,-1,0.0,u,0.0
427,Reijnders,13,3,57,1,2,33.0,a,
428,Nypan,13,3,50,0,0,0.0,u,0.0
429,Phillips,13,3,50,0,0,0.1,a,
430,Haaland,13,4,141,1,1,31.0,a,
119,Mbeumo,14,3,80,0,0,14.8,a,
431,Bayindir,14,1,50,0,0,0.5,a,
432,Onana,14,1,50,0,0,0.3,a,100.0
433,Harrison,14,1,40,0,0,0.0,u,0.0
434,Heaton,14,1,40,0,0,0.3,a,
435,Mee,14,1,40,0,0,0.1,a,
436,De Ligt,14,2,50,0,0,3.1,a,
437,Martinez,14,2,49,-1,-1,0.1,i,0.0
438,Mazraoui,14,2,49,-1,-1,0.2,i,0.0
439,D.Leon,14,2,45,0,0,0.1,a,
440,Dalot,14,2,45,0,0,2.0,a,
441,Dorgu,14,2,45,0,0,8.4,a,
442,Maguire,14,2,45,0,0,0.7,a,
443,Shaw,14,2,45,0,0,0.3,a,
444,Yoro,14,2,45,0,0,2.4,a,
445,Amass,14,2,40,0,0,0.2,a,
446,Fredricson,14,2,40,0,0,0.1,a,
447,Heaven,14,2,40,0,0,1.4,a,
448,Malacia,14,2,40,0,0,0.3,a,
449,B.Fernandes,14,3,90,0,0,20.9,a,
450,Cunha,14,3,80,0,0,11.5,a,
451,Rashford,14,3,70,0,0,0.0,u,0.0
452,Amad,14,3,65,0,0,2.4,a,
453,Garnacho,14,3,64,-1,-1,0.2,a,
454,Antony,14,3,59,-1,-1,0.1,a,
455,Mount,14,3,60,0,0,0.3,a,
456,Sancho,14,3,59,-1,-1,0.1,a,
457,Casemiro,14,3,55,0,0,0.2,a,
458,Mainoo,14,3,49,-1,-1,0.6,a,
459,Ugarte,14,3,50,0,0,0.2,a,
460,Collyer,14,3,45,0,0,0.1,u,0.0
461,Fitzgerald,14,3,45,0,0,0.0,a,
462,J.Fletcher,14,3,45,0,0,0.0,a,
