id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
143,Boscagli,6,2,44,0.1,-43.0,-75.0,down,a,0,stable,0.0,0.0,48h+
144,Coppola,6,2,44,0.1,-28.0,-61.0,down,a,0,stable,0.0,0.0,48h+
145,De Cuyper,6,2,45,3.5,-6708.0,-11518.0,down,d,1,stable,0.0,0.0,48h+
146,Dunk,6,2,45,1.2,-225.0,-413.0,down,a,0,stable,0.0,0.0,48h+
147,Estupiñan,6,2,45,0.0,-1.0,-3.0,down,u,1,stable,0.0,0.0,48h+
148,F.Kadıoğlu,6,2,44,0.1,2.0,-12.0,up,a,0,stable,0.0,0.0,48h+
150,Lamptey,6,2,44,0.2,-333.0,-602.0,down,u,1,stable,0.0,0.0,48h+
151,Van Hecke,6,2,45,0.9,-280.0,-468.0,down,a,0,stable,0.0,0.0,48h+
152,Veltman,6,2,44,0.2,41.0,55.0,up,a,0,stable,0.0,0.0,48h+
153,Webster,6,2,44,0.0,-5.0,-7.0,down,i,1,stable,0.0,0.0,48h+
154,Cashin,6,2,40,0.0,-4.0,-7.0,down,u,1,stable,0.0,0.0,48h+
155,Slater,6,2,40,0.2,-44.0,-95.0,down,a,0,stable,0.0,0.0,48h+
156,Tasker,6,2,40,0.1,-40.0,-76.0,down,a,0,stable,0.0,0.0,48h+
157,Mitoma,6,3,64,4.8,622.0,1197.0,up,a,0,stable,0.0,0.0,48h+
158,Georginio,6,3,58,0.6,-805.0,-1343.0,down,a,0,stable,0.0,0.0,48h+
159,March,6,3,58,0.0,-4.0,-9.0,down,i,1,stable,0.0,0.0,48h+
160,Minteh,6,3,59,0.9,667.0,1192.0,up,a,0,stable,0.0,0.0,48h+
161,Enciso,6,3,54,0.0,-9.0,-23.0,down,u,1,stable,0.0,0.0,48h+
162,Gruda,6,3,54,0.1,-170.0,-236.0,down,a,0,stable,0.0,0.0,48h+
163,Hinshelwood,6,3,53,0.1,-130.0,-209.0,down,d,1,stable,0.0,0.0,48h+
164,O'Riley,6,3,55,0.7,-1739.0,-3276.0,down,u,1,stable,0.0,0.0,48h+
165,Sima,6,3,54,0.0,-21.0,-33.0,down,u,1,stable,0.0,0.0,48h+
166,Ayari,6,3,49,0.2,-37.0,-71.0,down,a,0,stable,0.0,0.0,48h+
167,Baleba,6,3,49,3.0,-3306.0,-5837.0,down,a,0,stable,0.0,0.0,48h+
169,Gomez,6,3,50,0.1,-11.0,-16.0,down,a,0,stable,0.0,0.0,48h+
170,Milner,6,3,50,0.1,22.0,45.0,up,a,0,stable,0.0,0.0,48h+
171,Sarmiento,6,3,49,0.0,-27.0,-50.0,down,u,1,stable,0.0,0.0,48h+
172,Watson,6,3,49,0.0,-12.0,-15.0,down,a,0,stable,0.0,0.0,48h+
173,Wieffer,6,3,49,0.1,-32.0,-54.0,down,a,0,stable,0.0,0.0,48h+
174,Yalcouye,6,3,50,0.0,-2.0,-8.0,down,u,1,stable,0.0,0.0,48h+
175,Knight,6,3,45,0.1,9.0,17.0,up,a,0,stable,0.0,0.0,48h+
176,Mazilu,6,3,45,0.0,11.0,3.0,up,a,0,stable,0.0,0.0,48h+
177,Moran,6,3,45,0.0,-29.0,-43.0,down,u,1,stable,0.0,0.0,48h+
178,Welbeck,6,4,63,2.1,-1307.0,-2312.0,down,a,0,stable,0.0,0.0,48h+
