id,web_name,first_name,second_name,team,element_type,team_name
317,Andersen,Joachim,Andersen,10,2,Fulham
318,Bassey,Calvin,Bassey,10,2,Fulham
319,Castagne,Timothy,Castagne,10,2,Fulham
320,Diop,Issa,Diop,10,2,Fulham
321,J.Cuenca,Jorge,Cuenca Barreno,10,2,Fulham
322,Tete,Kenny,Tete,10,2,Fulham
323,Amissah,Samuel,Amissah,10,2,Fulham
324,Iwobi,Alex,Iwobi,10,3,Fulham
325,Smith Rowe,Emile,Smith Rowe,10,3,Fulham
326,Adama,Adama,Traoré Diarra,10,3,Fulham
327,Andreas,Andreas,Hoelgebaum Pereira,10,3,Fulham
328,Sessegnon,Ryan,Sessegnon,10,3,Fulham
329,Wilson,Harry,Wilson,10,3,Fulham
330,Berge,Sander,Berge,10,3,Fulham
331,Cairney,Tom,Cairney,10,3,Fulham
332,Lukić,Saša,Lukić,10,3,Fulham
333,Godo,Martial,Godo,10,3,Fulham
334,Harris,Luke,Harris,10,3,Fulham
335,King,Josh,King,10,3,Fulham
336,Reed,Harrison,Reed,10,3,Fulham
337,Raúl,Raúl,Jiménez Rodríguez,10,4,Fulham
338,Muniz,Rodrigo,Muniz Carvalho,10,4,Fulham
664,Lecomte,Benjamin,Lecomte,10,1,Fulham
339,Meslier,Illan,Meslier,11,1,Leeds
340,Cairns,Alex,Cairns,11,1,Leeds
341,Darlow,Karl,Darlow,11,1,Leeds
342,Bogle,Jayden,Bogle,11,2,Leeds
343,Struijk,Pascal,Struijk,11,2,Leeds
344,Bijol,Jaka,Bijol,11,2,Leeds
345,Bornauw,Sebastiaan,Bornauw,11,2,Leeds
346,Byram,Sam,Byram,11,2,Leeds
347,Gudmundsson,Gabriel,Gudmundsson,11,2,Leeds
348,Rodon,Joe,Rodon,11,2,Leeds
349,Schmidt,Isaac,Schmidt,11,2,Leeds
350,Aaronson,Brenden,Aaronson,11,3,Leeds
351,Gnonto,Wilfried,Gnonto,11,3,Leeds
352,Harrison,Jack,Harrison,11,3,Leeds
353,James,Daniel,James,11,3,Leeds
354,Ampadu,Ethan,Ampadu,11,3,Leeds
355,Greenwood,Sam,Greenwood,11,3,Leeds
356,Gruev,Ilia,Gruev,11,3,Leeds
357,Ramazani,Largie,Ramazani,11,3,Leeds
358,Tanaka,Tanaka,Ao,11,3,Leeds
359,Crew,Charlie,Crew,11,3,Leeds
360,Gelhardt,Joe,Gelhardt,11,3,Leeds
361,Gyabi,Darko,Gyabi,11,3,Leeds
362,Piroe,Joël,Piroe,11,4,Leeds
363,Bamford,Patrick,Bamford,11,4,Leeds
364,Mateo Joseph,Mateo,Joseph Fernández-Regatillo,11,4,Leeds
365,Nmecha,Lukas,Nmecha,11,4,Leeds
493,Longstaff,Sean,Longstaff,11,3,Leeds
660,Stach,Anton,Stach,11,3,Leeds
665,Perri,Lucas Estella,Perri,11,1,Leeds
691,Calvert-Lewin,Dominic,Calvert-Lewin,11,4,Leeds
698,Okafor,Noah,Okafor,11,3,Leeds
