id,code,team,team_code,element_type,first_name,second_name,web_name,status,news,news_added,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,total_points,event_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,points_per_game,ep_next,ep_this,transfers_in,transfers_out,transfers_in_event,transfers_out_event
46,587178,2,7,2,Yasin,Özcan,Yasin,a,,,40,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1095,2190,1095,2190
47,244850,2,7,3,Morgan,Rogers,Rogers,a,,2025-08-10T22:00:04.458365Z,70,0,0,0,0,9.7,100.0,100.0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,3.0,0.4,0.4,3.0,2.3,1.8,89079,108825,89079,108825
48,166989,2,7,3,Youri,Tielemans,Tielemans,a,,,60,0,0,0,0,2.2,,,3,3,90,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,3.0,0.5,0.5,3.0,2.1,1.6,16396,32210,16396,32210
49,215711,2,7,3,Leon,Bailey,Bailey,u,Has joined AS Roma on loan for the rest of the season.,2025-08-20T13:31:56.843157Z,55,0,0,0,0,0.4,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2168,17934,2168,17934
50,195546,2,7,3,Emiliano,Buendía Stati,Buendía,a,,,54,-1,1,-1,1,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,428,4727,428,4727
51,469247,2,7,3,Samuel,Iling-Junior,Iling Jr,a,,,55,0,0,0,0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,163,522,163,522
53,204646,2,7,3,Donyell,Malen,Malen,a,,,54,-1,1,-1,1,1.5,,,1,1,6,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,1.0,0.2,0.2,1.0,2.0,1.5,4999,43318,4999,43318
54,122806,2,7,3,John,McGinn,McGinn,a,,,55,0,0,0,0,0.7,,,3,3,83,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,3.0,0.5,0.5,3.0,2.0,1.5,7922,9560,7922,9560
55,88894,2,7,3,Ross,Barkley,Barkley,d,Knock - 25% chance of playing,2025-08-10T22:00:04.469618Z,50,0,0,0,0,0.1,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,86,2696,86,2696
56,491287,2,7,3,Enzo,Barrenechea,Barrenechea,u,Season-long loan to Benfica,2025-07-22T13:50:13.193555Z,50,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,10
57,461421,2,7,3,Lewis,Dobbin,Dobbin,a,,,50,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,526,1009,526,1009
58,226944,2,7,3,Boubacar,Kamara,Kamara,a,,,50,0,0,0,0,0.2,,,2,2,90,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,2.0,0.4,0.4,2.0,1.5,1.0,2804,3263,2804,3263
59,449871,2,7,3,Amadou,Onana,Onana,a,,,50,0,0,0,0,1.9,,,5,5,90,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,5.0,1.0,1.0,5.0,1.5,1.0,36806,22049,36806,22049
60,577731,2,7,3,Ben,Broggio,Broggio,a,,,45,0,0,0,0,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3043,4023,3043,4023
61,151589,2,7,3,Leander,Dendoncker,Dendoncker,u,Has joined Real Oviedo permanently.,2025-08-20T13:31:56.822248Z,45,0,0,0,0,0.3,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2169,6536,2169,6536
62,559962,2,7,3,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,a,,,45,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,434,688,434,688
63,537403,2,7,3,Kadan,Young,Young,a,,,45,0,0,0,0,0.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,6075,9205,6075,9205
64,178301,2,7,4,Ollie,Watkins,Watkins,a,,,90,0,0,0,0,25.3,,,2,2,90,0,0,1,0,0,0,0,0,0,0,0,12,10.6,12.2,27.0,5.0,2.0,0.2,0.2,2.0,2.8,2.3,122486,252384,122486,252384
65,576756,2,7,4,Zépiqueno,Redmond,Redmond,a,,,45,0,0,0,0,0.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,9970,11259,9970,11259
677,485337,2,7,3,Evann,Guessand,Guessand,a,,,65,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.7,359,1814,359,1814
688,481283,2,7,1,James,Wright,Wright,a,,,40,0,0,0,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,11294,1410,11294,1410
183,518030,3,90,1,Max,Weiß,Weiss,a,,,45,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.8,613,1884,613,1884
