element,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m,selected_by_percent,status,chance_of_playing_next_round,apps,assists_per90,goals_scored_per90,last_updated_utc,points_per90,saves_per90,xa,xg,xgc,xgi
63,Young,Kadan Young,Kadan,Young,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.7,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
64,Watkins,Ollie Watkins,Ollie,Watkins,FWD,,Aston Villa,,90,2,0,0,1,0,0,0,0,0,0,0,0,12,10.6,12.2,27.0,5.0,0.12,0.01,0.13,1.43,9.0,25.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.01,0.12,1.43,0.13
65,Redmond,Zépiqueno Redmond,Zépiqueno,Redmond,FWD,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.9,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
66,Neto,Norberto Murara Neto,Norberto,Murara Neto,GK,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
67,Petrović,Đorđe Petrović,Đorđe,Petrović,GK,,Bournemouth,,90,2,0,0,0,4,0,0,0,0,0,6,0,10,47.8,0.0,0.0,4.8,0.0,0.0,0.0,2.21,4.5,3.6,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,6.0,0.0,0.0,2.21,0.0
68,Dennis,Will Dennis,Will,Dennis,GK,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
69,McKenna,Callan McKenna,Callan,McKenna,GK,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
70,Paulsen,Alex Paulsen,Alex,Paulsen,GK,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
71,Zabarnyi,Illia Zabarnyi,Illia,Zabarnyi,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
72,Senesi,Marcos Senesi Barón,Marcos,Senesi Barón,DEF,,Bournemouth,,90,2,0,0,0,4,0,0,0,0,0,0,0,1,26.6,14.6,2.0,4.3,0.0,0.05,0.05,2.21,4.5,1.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.05,0.0,2.21,0.05
73,Smith,Adam Smith,Adam,Smith,DEF,,Bournemouth,,89,1,0,0,0,3,0,0,0,0,0,0,0,2,12.2,10.5,4.0,2.7,0.0,0.08,0.08,2.1,4.5,0.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,1.01,0.0,0.08,0.0,2.1,0.08
74,Truffert,Adrien Truffert,Adrien,Truffert,DEF,,Bournemouth,,90,0,0,0,0,4,0,0,0,0,0,0,0,-1,18.2,19.1,0.0,3.7,0.0,0.13,0.13,2.21,4.5,1.0,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.13,0.0,2.21,0.13
75,Akinmboni,Matai Akinmboni,Matai,Akinmboni,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
76,Bevan,Owen Bevan,Owen,Bevan,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
77,Hill,James Hill,James,Hill,DEF,,Bournemouth,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.1,0.0,0.3,0.0,0.0,0.0,0.11,4.0,0.8,a,,1,0.0,0.0,2025-08-22T01:26:46Z,90.0,0.0,0.0,0.0,0.11,0.0
78,J.Araujo,Julián Araujo Zúñiga,Julián,Araujo Zúñiga,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
79,Mepham,Chris Mepham,Chris,Mepham,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
80,Soler,Julio Soler Barreto,Julio,Soler Barreto,DEF,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
81,Kluivert,Justin Kluivert,Justin,Kluivert,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
82,Semenyo,Antoine Semenyo,Antoine,Semenyo,MID,,Bournemouth,,90,15,2,0,0,4,0,0,0,0,0,0,3,42,66.4,1.3,32.0,10.0,0.91,0.02,0.93,2.21,7.1,14.2,a,,1,0.0,2.0,2025-08-22T01:26:46Z,15.0,0.0,0.02,0.91,2.21,0.93
83,O.Dango,Dango Ouattara,Dango,Ouattara,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1,a,100.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
84,Tavernier,Marcus Tavernier,Marcus,Tavernier,MID,,Bournemouth,,90,4,0,0,0,4,0,0,0,0,0,0,0,20,24.6,14.1,33.0,7.2,0.32,0.06,0.38,2.21,5.5,0.5,a,,1,0.0,0.0,2025-08-22T01:26:46Z,4.0,0.0,0.06,0.32,2.21,0.38
85,Adams,Tyler Adams,Tyler,Adams,MID,,Bournemouth,,90,4,0,0,0,3,0,0,0,0,0,0,0,11,21.6,1.7,4.0,2.7,0.0,0.1,0.1,2.1,5.0,0.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,4.0,0.0,0.1,0.0,2.1,0.1
