player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
191,Estève,Maxime,Estève,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,67790,69883,19.6,4.0,67790,69883,19.6,0.0,0,0,0.0
192,Hartman,Quilindschy,Hartman,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,5272,3699,0.5,4.0,5272,3699,0.5,0.0,0,0,0.0
193,Humphreys,Bashir,Humphreys,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,103,919,0.1,4.0,103,919,0.1,0.0,0,0,0.0
194,Jordan,Jordan,Beyer,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,505,1585,0.2,4.0,505,1585,0.2,0.0,0,0,0.0
195,Lucas Pires,Lucas,Pires Silva,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,254,1423,0.2,4.0,254,1423,0.2,0.0,0,0,0.0
196,Sambo,Shurandy,Sambo,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,202,1735,0.1,4.0,202,1735,0.1,0.0,0,0,0.0
197,Sonne,Oliver,Sonne,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1274,1143,0.2,4.0,1274,1143,0.2,0.0,0,0,0.0
198,Tuanzebe,Axel,Tuanzebe,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,3016,17967,2.3,4.0,3016,17967,2.3,0.0,0,0,0.0
199,Worrall,Joe,Worrall,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,294,1251,0.1,4.0,294,1251,0.1,0.0,0,0,0.0
200,Anthony,Jaidon,Anthony,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,1717,1532,0.1,5.5,1717,1532,0.1,0.0,0,0,0.0
201,Benson,Manuel,Benson Hedilazio,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,101,381,0.0,5.5,101,381,0.0,0.0,0,0,0.0
202,Bruun Larsen,Jacob,Bruun Larsen,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,190,647,0.0,5.5,190,647,0.0,0.0,0,0,0.0
203,Boateng,Enock,Agyei,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,218,796,0.1,5.0,218,796,0.1,0.0,0,0,0.0
204,Churlinov,Darko,Churlinov,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,39,325,0.0,5.0,39,325,0.0,0.0,0,0,0.0
205,Cullen,Josh,Cullen,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,2381,802,0.1,5.0,2381,802,0.1,0.0,0,0,0.0
206,Edwards,Marcus,Edwards,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,239,1298,0.1,5.0,239,1298,0.1,0.0,0,0,0.0
207,Hannibal,Hannibal,Mejbri,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,774,1678,0.1,5.0,774,1678,0.1,0.0,0,0,0.0
208,Koleosho,Luca,Koleosho,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,61,531,0.0,5.0,61,531,0.0,0.0,0,0,0.0
209,Laurent,Josh,Laurent,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,164,319,0.0,5.0,164,319,0.0,0.0,0,0,0.0
210,Tchaouna,Loum,Tchaouna,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,43,320,0.0,5.0,43,320,0.0,0.0,0,0,0.0
211,A.Ramsey,Aaron,Ramsey,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,30294,86884,9.1,4.5,30294,86884,9.1,0.0,0,0,0.0
212,Adewumi,Oluwaseun,Adewumi,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,0,914,0.0,4.5,0,914,0.0,0.0,0,0,0.0
213,Banel,Jaydon,Banel,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,205,450,0.0,4.5,205,450,0.0,0.0,0,0,0.0
214,Trésor,Mike,Trésor Ndayishimiye,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,359,865,0.1,4.5,359,865,0.1,0.0,0,0,0.0
215,Flemming,Zian,Flemming,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,1529,2592,0.2,5.5,1529,2592,0.2,0.0,0,0,0.0
216,Amdouni,Zeki,Amdouni,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,123,1711,0.0,5.0,123,1711,0.0,0.0,0,0,0.0
217,Foster,Lyle,Foster,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,17843,7993,0.5,5.0,17843,7993,0.5,0.0,0,0,0.0
218,Barnes,Ashley,Barnes,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,10470,22748,2.4,4.5,10470,22748,2.4,0.0,0,0,0.0
219,Obafemi,Michael,Obafemi,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,1902,3975,0.4,4.5,1902,3975,0.4,0.0,0,0,0.0
470,Dúbravka,Martin,Dúbravka,Burnley,BUR,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,117209,35841,34.6,4.0,117209,35841,34.6,0.0,0,0,0.0
676,Ugochukwu,Lesley,Ugochukwu,Burnley,BUR,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,224,525,0.0,5.0,224,525,0.0,0.0,0,0,0.0
680,Broja,Armando,Broja,Burnley,BUR,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,2158,3490,0.2,5.5,2158,3490,0.2,0.0,0,0,0.0
66,Neto,Norberto,Murara Neto,Bournemouth,BOU,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,0,5567,0.2,4.5,0,5567,0.2,0.0,0,0,0.0
67,Petrović,Đorđe,Petrović,Bournemouth,BOU,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,46090,20005,3.5,4.5,46090,20005,3.5,0.0,0,0,0.0
68,Dennis,Will,Dennis,Bournemouth,BOU,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,6680,4203,1.1,4.0,6680,4203,1.1,0.0,0,0,0.0
69,McKenna,Callan,McKenna,Bournemouth,BOU,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,895,901,0.2,4.0,895,901,0.2,0.0,0,0,0.0
70,Paulsen,Alex,Paulsen,Bournemouth,BOU,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,639,674,0.1,4.0,639,674,0.1,0.0,0,0,0.0
71,Zabarnyi,Illia,Zabarnyi,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,0,4498,0.1,5.0,0,4498,0.1,0.0,0,0,0.0
72,Senesi,Marcos,Senesi Barón,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,34736,8363,1.2,4.5,34736,8363,1.2,0.0,0,0,0.0
73,Smith,Adam,Smith,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,8980,2771,0.4,4.5,8980,2771,0.4,0.0,0,0,0.0
74,Truffert,Adrien,Truffert,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,28210,7948,1.0,4.5,28210,7948,1.0,0.0,0,0,0.0
75,Akinmboni,Matai,Akinmboni,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1804,2486,0.3,4.0,1804,2486,0.3,0.0,0,0,0.0
76,Bevan,Owen,Bevan,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,593,1484,0.2,4.0,593,1484,0.2,0.0,0,0,0.0
77,Hill,James,Hill,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,9183,6307,0.8,4.0,9183,6307,0.8,0.0,0,0,0.0
78,J.Araujo,Julián,Araujo Zúñiga,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,6019,10143,1.3,4.0,6019,10143,1.3,0.0,0,0,0.0
79,Mepham,Chris,Mepham,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,538,1569,0.2,4.0,538,1569,0.2,0.0,0,0,0.0
80,Soler,Julio,Soler Barreto,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1137,2214,0.3,4.0,1137,2214,0.3,0.0,0,0,0.0
81,Kluivert,Justin,Kluivert,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,7.0,277,32396,0.6,7.0,277,32396,0.6,0.0,0,0,0.0
82,Semenyo,Antoine,Semenyo,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,7.1,696740,38428,14.1,7.1,696740,38428,14.1,0.0,0,0,0.0
84,Tavernier,Marcus,Tavernier,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,17851,6695,0.5,5.5,17851,6695,0.5,0.0,0,0,0.0
85,Adams,Tyler,Adams,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,5994,3624,0.3,5.0,5994,3624,0.3,0.0,0,0,0.0
86,Brooks,David,Brooks,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,9225,2869,0.2,5.0,9225,2869,0.2,0.0,0,0,0.0
