player_id,web_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,selected_by_percent_prev,delta_selected_by_percent
106,Collins,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,1.6,1.6,0.0
107,Lewis-Potter,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.4,0.4,0.0
108,Ajer,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
109,Henry,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
110,Kayode,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
111,Pinnock,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
112,Roerslev,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.0,0.0,0.0
113,Van den Berg,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.4,0.4,0.0
114,Arthur,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
115,Fredrick,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
116,Hickey,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.5,0.5,0.0
117,Ji-soo,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
118,Meghoma,Brentford,BRE,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.1,0.1,0.0
120,Schade,Brentford,BRE,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,0.3,0.3,0.0
121,Damsgaard,Brentford,BRE,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.9,0,0,0.9,0.9,0.0
122,Milambo,Brentford,BRE,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.1,0.1,0.0
123,Carvalho,Brentford,BRE,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.3,0.3,0.0
