gw,fixture,kickoff_time,player_id,web_name,first_name,second_name,position,team,team_name,team_short,is_home,opponent_team,opponent_name,opponent_short,team_h,team_h_score,team_a,team_a_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus
2,12,2025-08-23T14:00:00Z,95,Silcott-Duberry,Zain,Silcott-Duberry,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,96,Winterburn,Ben,Winterburn,MID,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,97,Evanilson,Francisco Evanilson,de Lima Barbosa,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,87,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,98,Enes Ünal,Enes,Ünal,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,99,Adu-Adjei,Daniel,Adu-Adjei,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,0,,,,,,,,,,,
2,12,2025-08-23T14:00:00Z,100,Kroupi.Jr,Eli Junior,Kroupi,FWD,4,Bournemouth,BOU,True,20,Wolves,WOL,4,1,20,0,2,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,101,Kelleher,Caoimhín,Kelleher,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,1.0,,
2,13,2025-08-23T14:00:00Z,102,Balcombe,Ellery,Balcombe,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,103,Cox,Matthew,Cox,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,104,Eyestone,Julian,Eyestone,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,105,Valdimarsson,Hákon Rafn,Valdimarsson,GK,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,106,Collins,Nathan,Collins,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,1.0
2,13,2025-08-23T14:00:00Z,107,Lewis-Potter,Keane,Lewis-Potter,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,108,Ajer,Kristoffer,Ajer,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,5,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,109,Henry,Rico,Henry,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,6,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,110,Kayode,Michael,Kayode,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,84,,,1.0,,,,,,,,2.0
2,13,2025-08-23T14:00:00Z,111,Pinnock,Ethan,Pinnock,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,112,Roerslev,Mads,Roerslev Rasmussen,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,113,Van den Berg,Sepp,van den Berg,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,90,,,1.0,,,,,,,,
2,13,2025-08-23T14:00:00Z,114,Arthur,Benjamin,Arthur,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,115,Fredrick,Benjamin,Fredrick,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,116,Hickey,Aaron,Hickey,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,11,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,117,Ji-soo,Kim,Ji-soo,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,118,Meghoma,Jayden,Meghoma,DEF,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,0,,,,,,,,,,,
2,17,2025-08-24T15:30:00Z,119,Mbeumo,Bryan,Mbeumo,MID,14,Man Utd,MUN,False,10,Fulham,FUL,10,1,14,1,90,,,,,,,,,,,
2,13,2025-08-23T14:00:00Z,120,Schade,Kevin,Schade,MID,5,Brentford,BRE,True,2,Aston Villa,AVL,5,1,2,0,78,,,1.0,,,,,,,,
